handle_lower,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness,outrage_index,z_avg_anger,z_avg_disgust,z_pct_negative,z_sentiment_std,partisanship_score,is_R
reprichardneal,Richard E. Neal,Q1 (lowest),D,0.14,468,0.5029106214005723,0.6116434010885875,0.13675213675213677,0.6858974358974359,0.6153846153846154,0.06283582724060194,0.13532466886868064,0.41520772246017296,0.027467035813083917,0.07681254223989055,0.09030286305368586,-1.0126918169052115,-0.4579106969587822,-0.8260068817019082,-0.5319695595165062,-0.707144738770602,0
reprichhudson,Richard Hudson,Q2,R,4.27,1083,-0.04013626165997619,0.7854771554672746,0.45706371191135736,0.3721144967682364,0.6177285318559557,0.1628351944954167,0.19841077327124693,0.23198072199658867,0.07789206486698391,0.0811963984300425,0.2407272593624006,1.153238190731541,1.2479635444930233,1.4455487874805877,1.6240620120692164,1.367703133693592,1
reprickallen,Rick W. Allen,Q2,R,2.84,534,0.27693081984805706,0.6577692510695685,0.20973782771535582,0.4812734082397004,0.45880149812734083,0.12010696012184911,0.23430365802522238,0.31613543143579625,0.016999219381299446,0.07131119021620032,0.13710617950314857,0.22776868483733972,-0.8120359944601426,-0.30841378506064443,0.04012179972882285,-0.21313982373865614,1
reprickcrawford,"Eric A. ""Rick"" Crawford",Q1 (lowest),R,0.91,158,0.008762612750258629,0.7401192357139481,0.43037974683544306,0.3860759493670886,0.47468354430379744,0.1575981785272118,0.3164762902645323,0.21244730601213202,0.0275403645116713,0.10223215539229416,0.1851385430388831,1.039807372643423,-0.4554299936170808,1.2563139397722873,1.0614951656063207,0.7255466211012376,1
repricklarsen,Rick Larsen,Q2,D,5.41,1488,0.32459831956814056,0.5407676784775222,0.10349462365591398,0.47446236559139787,0.3548387096774194,0.07919953254320478,0.20569986564993495,0.333280006657362,0.008493482012718476,0.09629881234947676,0.08769301455592325,-0.6582631707646965,-1.0997843320189906,-1.0618594024204722,-1.4110295335392744,-1.0577341096858583,0
repritchie,Ritchie Torres,Q2,D,3.5,1383,0.28903862359897864,0.6755851295700753,0.21330441070137382,0.5162689804772235,0.5155459146782357,0.10402230672655786,0.2566043836682824,0.3075713871695223,0.03451158232287926,0.06286419293900782,0.13853388904943711,-0.12061585406203319,-0.21959431600193957,-0.2831206254317055,0.26108922150440317,-0.09056039349781878,0
reprobertgarcia,Robert Garcia,Q4 (highest),D,22.07,1773,0.10661005407353276,0.786088677862931,0.3767625493513818,0.4500846023688663,0.6175972927241963,0.14939459564508467,0.1504504655921881,0.3058354794412679,0.08653044829326981,0.05679993353960311,0.23592504393835448,0.862122385004875,1.5401992863690228,0.876076513603548,1.6316466241399814,1.2275112022793568,0
reprobinkelly,Robin L. Kelly,Q2,D,3.67,1683,0.4803139426951882,0.6055969087029734,0.12715389185977422,0.6547831253713606,0.5710041592394534,0.058846701636223665,0.2129422686037955,0.37517032563156244,0.011693392317863526,0.05989411824795928,0.0705400939540872,-1.099094032118618,-0.9915316514172937,-0.8940748170820463,-0.6069632138118478,-0.8979159286074514,0
reprokhanna,Ro Khanna,Q3,D,6.39,1559,-0.03546606223119842,0.6816255169058932,0.40667094291212313,0.32456703014753047,0.38293778062860806,0.19778203926713908,0.1424333280084354,0.18657353739973276,0.05735741578716203,0.09800979138514462,0.25513945505430113,1.910167177796233,0.5532781951781695,1.0881780616517953,0.33600715586748164,0.9719076476234199,0
repronestes,Ron Estes,Q1 (lowest),R,0.75,733,0.19817860719289168,0.7106501360592798,0.286493860845839,0.4693042291950887,0.5061391541609823,0.10300825699645448,0.14554386557387006,0.32988444118303756,0.03425726520020582,0.0808942273446888,0.1372655221966603,-0.14257960043324952,-0.22819784160953072,0.23591747151302075,0.695994751323946,0.1402836951985466,1
repronnyjackson,Ronny Jackson,Q4 (highest),R,49.22,653,0.20679119735910553,0.7647851747434771,0.3001531393568147,0.5206738131699847,0.6217457886676876,0.1789184137068155,0.17319403806014305,0.2779804866022543,0.05103632588949261,0.05546137291683482,0.2299547395963081,1.501591666015069,0.33943628697005696,0.33278506527114887,1.3674227656892257,0.8853089459863751,1
reprudyyakym,Rudy Yakym III,Q4 (highest),R,35.33,1038,0.07794636780816007,0.7835890356137056,0.3882466281310212,0.43545279383429675,0.603082851637765,0.12844860526482546,0.1477037739874041,0.30270488635477155,0.09659780090800814,0.06154053308372964,0.2250464061728336,0.40844402333414337,1.8807769286096938,0.9575182293587811,1.6006439709080942,1.211845788052678,1
reprussellfry,Russell Fry,Q2,R,3.45,803,0.1366582811249891,0.7424996377896793,0.32129514321295144,0.43212951432129515,0.5442092154420921,0.12917711802824672,0.1785595561005479,0.284029161872007,0.06201096714847133,0.05094147321363909,0.19118808517671804,0.424223199728527,0.7107074232316642,0.4827179507543325,1.091018902504762,0.6771668690548214,1
reprussfulcher,Russ Fulcher,Q3,R,9.57,693,0.15927971032962826,0.6940590664627933,0.2828282828282828,0.42857142857142855,0.468975468975469,0.11748040255340898,0.1413100257552948,0.272899589384696,0.05164416965565786,0.07340526099862395,0.16912457220906685,0.17087892632743285,0.35999958743776683,0.20992226817866888,0.4902184336907419,0.3077548039086526,1
reprutherfordfl,John H. Rutherford,Q1 (lowest),R,0.34,685,0.25236177801215737,0.6907895243580147,0.24233576642335766,0.5007299270072992,0.5226277372262774,0.14212182618874752,0.2322293622220397,0.3223304001332335,0.021936784092703086,0.09005557011292877,0.1640586102814506,0.704598292237716,-0.6449986200705002,-0.07723877229684625,0.4496668387043326,0.10800693464367553,1
reprwilliams,Roger Williams,Q1 (lowest),R,0.7,1289,-0.09680845841037108,0.7417060758545498,0.46470131885182314,0.32117920868890615,0.5376260667183863,0.1477300483021105,0.3448120373784119,0.18646370482939356,0.04068260034656886,0.07373562877054146,0.18841264864867938,0.8260692264874527,-0.01082932592341143,1.4997124540167677,1.081176483854466,0.8490322096088188,1
repryanzinke,Ryan K. Zinke,Q4 (highest),R,37.36,657,0.17734745630209123,0.6903602025078095,0.2694063926940639,0.4337899543378995,0.4657534246575342,0.08905314294393829,0.10764579000639869,0.26920327739079536,0.05464771072368457,0.060486174636673495,0.14370085366762286,-0.44483951583169257,0.4616091142386868,0.11473816310730423,0.4443420301438646,0.14396244791454077,1
repsalinas,Andrea Salinas,Q3,D,12.63,1232,0.4905006198285075,0.5513119315170009,0.08847402597402597,0.6339285714285714,0.5081168831168831,0.05677699736151658,0.22466122209582612,0.3689149367598368,0.012249553363892376,0.061894679466190976,0.06902655072540896,-1.1439226617248348,-0.9727167727683317,-1.1683810721473364,-1.2802508908460917,-1.1413178493716487,0
repsamgraves,Sam Graves,Q2,R,1.75,80,0.11424945779144764,0.7466662527310134,0.35,0.45,0.525,0.09952169527387009,0.15147819576959587,0.199826762410521,0.05468624490458747,0.13762530698004408,0.15420794017845757,-0.21809656484743817,0.46291272214632784,0.6862843692806683,1.1426967448908119,0.5184493178675924,1
repsarajacobs,Sara Jacobs,Q3,D,7.89,1662,0.2376289636291178,0.7310182303650434,0.2833935018050541,0.5042117930204573,0.5565583634175691,0.06956047943094741,0.13306477521416948,0.37824808450284186,0.044082336898116414,0.0753638228419683,0.11364281632906383,-0.8670396355981522,0.10418345879522437,0.21393063525181064,0.9486168875322967,0.09992283649529488,0
repschneider,Bradley Scott Schneider,Q2,D,5.22,1328,0.3398019279835813,0.687853440978533,0.2085843373493976,0.5617469879518072,0.5783132530120482,0.07809588673499307,0.13608869995357917,0.374448887050062,0.04975744033303465,0.08445054580022174,0.1278533270680277,-0.6821675177563837,0.2961717025075584,-0.3165940001491479,0.4132510776480508,-0.07233468443748062,0
repscholten,Hillary J. Scholten,Q3,D,10.06,1924,0.5258494459727697,0.6000875773419503,0.11798336798336799,0.6813929313929314,0.6174636174636174,0.05676585971967728,0.15143178574339844,0.414464014925985,0.017647425591443514,0.07031427423222003,0.07441328531112079,-1.1441638967779786,-0.7901072361077796,-0.9591094805670269,-0.675294547937078,-0.8921687903474658,0
repscottperry,Scott Perry,Q4 (highest),R,26.89,691,-0.3168533321054903,0.6469316086856559,0.5803183791606368,0.17510853835021709,0.4934876989869754,0.17264855417268624,0.17100736067952804,0.09467604642601844,0.1128154710715558,0.07006574193662292,0.285464025244242,1.3657900376504246,2.4294192657075193,2.319634708365995,-0.09429570292931429,1.505137077198656,1
repscottpeters,Scott H. Peters,Q1 (lowest),D,1.32,1001,0.29465827065986117,0.6446061690548742,0.1888111888111888,0.5104895104895105,0.46653346653346656,0.09757074154657563,0.17829880103315146,0.2961567192536464,0.029667179068611126,0.1001829160722791,0.12723792061518677,-0.26035312443836267,-0.3834800465947344,-0.45681936552106434,-0.12313774962905856,-0.30594757154580504,0
repshontelbrown,Shontel M. Brown,Q2,D,4.61,1564,0.389490124057321,0.6380764340401677,0.1636828644501279,0.5843989769820972,0.5274936061381074,0.09078492105653704,0.2208079101666367,0.33409469759990457,0.023312395054675313,0.059212090881646126,0.11409731611121235,-0.4073301766866933,-0.5984618237549478,-0.6350220659106802,-0.20412498307008098,-0.46123476235560057,0
repshrithanedar,Shri Thanedar,Q1 (lowest),D,0.47,914,0.3789157581798879,0.6824941022859784,0.20459518599562362,0.6061269146608315,0.5842450765864332,0.09937216506457548,0.24928571362913476,0.329709574554878,0.02532796965996935,0.07036090954338069,0.12470013472454483,-0.2213353050140045,-0.53027511438845,-0.34488389060467695,0.3467800780124054,-0.1874285579986815,0
