handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
RepWesterman,Bruce Westerman,Q1 (lowest),R,1.26,518,0.3636697351817459,0.6625954691986989,0.18146718146718147,0.5598455598455598,0.5328185328185329,0.0877369665763247,0.1597187355884151,0.3570527726665011,0.030049521434397215,0.06566223071568504
RepGuthrie,Brett Guthrie,Q1 (lowest),R,1.0,1087,0.3679207624814438,0.6386420983447546,0.16743330266789327,0.5722171113155474,0.5114995400183993,0.0825597306358111,0.18910213365453968,0.40083937851580165,0.021978977062617183,0.06311941531578052
JayObernolte,Jay Obernolte,Q1 (lowest),R,0.47,630,0.3747095813826909,0.6161496980417084,0.1492063492063492,0.5476190476190477,0.49047619047619045,0.07034618844036082,0.1972247273780845,0.34480661140752045,0.016898218549775013,0.06117998873482321
RepCardenas,Tony Cárdenas,Q1 (lowest),D,0.28,769,0.37630076181284006,0.6430885040030181,0.16644993498049415,0.5799739921976593,0.5331599479843954,0.07296758647980854,0.2072756808381409,0.3080157127563801,0.03036621245965072,0.06324895667696369
RepShriThanedar,Shri Thanedar,Q1 (lowest),D,0.47,914,0.3789157581798879,0.6824941022859784,0.20459518599562362,0.6061269146608315,0.5842450765864332,0.09937216506457548,0.24928571362913476,0.329709574554878,0.02532796965996935,0.07036090954338069
PatrickMcHenry,Patrick T. McHenry,Q1 (lowest),R,0.1,482,0.3812393477472527,0.6740386869264225,0.18464730290456433,0.5746887966804979,0.5892116182572614,0.10735912069606328,0.27510257706854485,0.401288154973606,0.013605774741739816,0.08239541954652661
RepAdrianSmith,Adrian Smith,Q1 (lowest),R,0.36,530,0.38236968489188067,0.611857783696411,0.13962264150943396,0.5547169811320755,0.4867924528301887,0.08617824901978235,0.20260592876002187,0.38191848168641607,0.019056604782098478,0.05180028540099843
RepChuck,"Charles J. ""Chuck"" Fleischmann",Q1 (lowest),R,0.25,1150,0.38975115045257236,0.7213351844645766,0.22695652173913045,0.6391304347826087,0.671304347826087,0.11384498841579715,0.16523385896802997,0.374984431117773,0.041938111339670396,0.07991605367805076
CongresswomanSC,Sheila Cherfilus-McCormick,Q1 (lowest),D,1.04,1592,0.39020768987323773,0.6704082761191916,0.1878140703517588,0.6099246231155779,0.5891959798994975,0.08018872569276814,0.27751470071976725,0.33068021001091624,0.02630386897998953,0.08082788801739157
RepLindaSanchez,Linda T. Sánchez,Q1 (lowest),D,1.33,910,0.40418200807257015,0.6774624926004553,0.1901098901098901,0.6098901098901099,0.6021978021978022,0.1070326321497994,0.21903651193044002,0.38434366469212633,0.015318634232276153,0.06895155463825682
RepBarragan,Nanette Diaz Barragán,Q1 (lowest),D,1.26,1254,0.415677225760866,0.6585798597515096,0.17703349282296652,0.6212121212121212,0.5869218500797448,0.11326319675893887,0.2720014584025437,0.38214767507315117,0.009373441555228,0.07081901247425972
RepGraceMeng,Grace Meng,Q1 (lowest),D,1.36,1387,0.42107576935430524,0.6344431261084481,0.1506849315068493,0.6049026676279741,0.5602018745493872,0.08754706508588282,0.2984640650623162,0.38063553162928415,0.011713975284999912,0.08511938260339912
RepMikeRogersAL,Mike Rogers,Q1 (lowest),R,0.76,394,0.4213573387280333,0.7487572403629136,0.23096446700507614,0.6472081218274112,0.7563451776649747,0.09238805371480825,0.13130247095132333,0.4699050561530246,0.054087814534712904,0.059477577876355124
RepJuanVargas,Juan Vargas,Q1 (lowest),D,0.23,713,0.4238989512850158,0.6342800995662108,0.15568022440392706,0.6143057503506312,0.5596072931276297,0.08443966200749933,0.23887915171065324,0.3602261116877502,0.025392018600592613,0.07152038023527577
CongMikeSimpson,Michael K. Simpson,Q1 (lowest),R,0.61,1095,0.42944465034628565,0.6587132363413326,0.1680365296803653,0.6219178082191781,0.6082191780821918,0.07452542886178358,0.12887702455829725,0.3983636863885307,0.02426573543984238,0.07316347643207823
MarkAmodeiNV2,Mark E. Amodei,Q1 (lowest),R,0.43,130,0.43608809044727914,0.5946727609801682,0.1076923076923077,0.5692307692307692,0.5307692307692308,0.0502513820050248,0.10356806004442307,0.4169095530237358,0.013842577502453797,0.043522064086013924
repmaxmiller,Max L. Miller,Q1 (lowest),R,0.14,1349,0.4385845200320895,0.7111577354683946,0.20681986656782803,0.6604892512972572,0.7034840622683469,0.1001253613209375,0.363729048336405,0.3921061313550464,0.009808671696836755,0.04633084102097951
RepDavidRouzer,David Rouzer,Q1 (lowest),R,0.8,388,0.44673574454698367,0.6894670719958814,0.19072164948453607,0.6469072164948454,0.6804123711340206,0.06117869232593402,0.154934852020983,0.4767427307542488,0.03502432205183961,0.062104100793223184
DonaldNorcross,Donald Norcross,Q1 (lowest),D,0.7,1136,0.44855238843551826,0.6626850012217885,0.18221830985915494,0.659330985915493,0.6223591549295775,0.09705411450376625,0.18890669322625933,0.38971222156783686,0.02272152336195492,0.07566513487544278
RepVeasey,Marc A. Veasey,Q1 (lowest),D,0.76,904,0.4502179217813289,0.646114890786657,0.1570796460176991,0.6382743362831859,0.6028761061946902,0.0794014369895572,0.2014405435960226,0.41349253203147823,0.020358127311649335,0.06397312017779924
RepLouCorrea,J. Luis Correa,Q1 (lowest),D,0.38,483,0.4666741049808005,0.6701372470053333,0.16770186335403728,0.6666666666666666,0.6666666666666666,0.0834558660061557,0.1407346209633722,0.40847017934355945,0.037314963750846065,0.05922972272231199
RepSmucker,Lloyd Smucker,Q1 (lowest),R,1.68,990,0.4672524749931663,0.5906526461112271,0.10505050505050505,0.597979797979798,0.5707070707070707,0.054698482391687835,0.09254701976141667,0.4281170830253166,0.02026151784021294,0.05906834337999099
RepSylviaGarcia,Sylvia R. Garcia,Q1 (lowest),D,0.58,1823,0.4763653728900476,0.6246305593702084,0.13494240263302248,0.6417992320351069,0.6012068019747668,0.071044471290327,0.23388544266499836,0.4194753364221708,0.015799621758615365,0.06295386703504967
RepGregPence,Greg Pence,Q1 (lowest),R,0.1,344,0.4773610514090505,0.6807571212375642,0.18023255813953487,0.6598837209302325,0.688953488372093,0.0792876467476585,0.12863728834917157,0.4918532586901186,0.019282907763501746,0.0699021442201757
RepKweisiMfume,Kweisi Mfume,Q1 (lowest),D,0.54,549,0.4970731851941684,0.6042958588613278,0.11839708561020036,0.6557377049180327,0.6065573770491803,0.0730391508504792,0.3075225212745273,0.39737369373414444,0.014979056753246752,0.07281507678687879
RepTroyCarter,Troy A. Carter,Q1 (lowest),D,0.86,2512,0.5011031767175456,0.5690220831211115,0.09156050955414012,0.6401273885350318,0.5585191082802548,0.06668318547752412,0.34709243724063044,0.35232380632424687,0.006996559420009416,0.0659166083601961
RepRichardNeal,Richard E. Neal,Q1 (lowest),D,0.14,468,0.5029106214005723,0.6116434010885875,0.13675213675213677,0.6858974358974359,0.6153846153846154,0.06283582724060194,0.13532466886868064,0.41520772246017296,0.027467035813083917,0.07681254223989055
RepHalRogers,Harold Rogers,Q1 (lowest),R,0.29,54,0.5031573358509276,0.586133334880108,0.09259259259259259,0.6851851851851852,0.6111111111111112,0.0768222123949305,0.1259995563326541,0.542386050200245,0.01996696533077969,0.07201597908365157
RepFrankLucas,Frank D. Lucas,Q1 (lowest),R,0.98,258,0.5060495610616004,0.5760733677232039,0.10465116279069768,0.6395348837209303,0.5658914728682171,0.051381701979851084,0.20436824041905147,0.4756979706014467,0.006779223549641733,0.05649737770716085
RepBlakeMoore,Blake D. Moore,Q1 (lowest),R,0.18,533,0.506364625177956,0.550580030323459,0.07317073170731707,0.624765478424015,0.5628517823639775,0.05892253732269426,0.15179264906016926,0.4717494847215179,0.010649794933466798,0.04737317459699283
RepStephenLynch,Stephen F. Lynch,Q1 (lowest),D,0.43,286,0.5549632905871718,0.5821840698875546,0.0944055944055944,0.6783216783216783,0.6713286713286714,0.05986886821631044,0.11169770091973157,0.5363344215921051,0.02220869511237666,0.0776410310818582
RepDavidKustoff,David Kustoff,Q1 (lowest),R,0.45,1159,0.5709101674472391,0.6403602444522624,0.14667817083692838,0.7325280414150129,0.7420189818809318,0.059709838430101456,0.16004350259337097,0.6033340443024228,0.017020243705750036,0.051924306392264634
Call_Me_Dutch,C. A. Dutch Ruppersberger,Q1 (lowest),D,0.7,552,0.5720601061332053,0.5901962764111551,0.1213768115942029,0.7355072463768116,0.6594202898550725,0.06576229290141673,0.3112833400768252,0.4188206011169603,0.012384508469251005,0.06821425638032526
