screen_name,followers,following,tweets_count,verified,created_at
reppettersen,28163,444,2598,True,Mon Jan 02 20:46:25 +0000 2023
RepDelBene,34123,1770,12325,True,Fri Dec 07 14:40:48 +0000 2012
RepJasonSmith,77578,996,8956,True,Fri Jul 26 16:13:03 +0000 2013
USRepKeating,26953,598,2781,True,Sat Jan 01 23:58:47 +0000 2011
RepJamesClyburn,167903,1714,8631,True,Tue Sep 07 18:50:22 +0000 2010
RepSaraJacobs,57758,98,5367,True,Fri Jan 01 20:26:39 +0000 2021
RepCasten,39439,3342,10715,True,Thu Jan 10 21:14:57 +0000 2019
RepBillFoster,50008,1169,9575,True,Fri Jan 11 18:17:11 +0000 2013
RepTroyNehls,238449,1681,4521,True,Thu Jan 07 23:04:54 +0000 2021
RepSusieLee,37540,2930,9560,True,Sat Dec 29 17:08:23 +0000 2018
RepDean,72368,1425,6777,True,Mon Apr 30 20:07:23 +0000 2012
RepRalphNorman,62919,558,5771,True,Thu Jun 29 17:38:35 +0000 2017
CathyMcMorris,51498,4634,14348,True,Mon Dec 08 23:17:15 +0000 2008
CongressmanRaja,159213,949,16378,True,Wed Dec 28 18:39:42 +0000 2016
RepFitzgerald,15078,913,3811,True,Tue Dec 11 21:01:37 +0000 2012
RepCiscomani,12259,573,3607,True,Thu Dec 15 23:22:53 +0000 2022
RepDinaTitus,51601,2003,21407,True,Thu Mar 11 21:05:31 +0000 2010
USRepKCastor,27650,5907,16847,True,Wed Sep 18 20:03:57 +0000 2013
RepCartwright,18363,1991,3805,True,Thu Aug 23 20:05:56 +0000 2012
RepAnnieKuster,23407,2094,9496,True,Thu Jan 03 20:29:22 +0000 2013
RepGregStanton,23027,1678,5825,True,Thu Jan 03 17:54:19 +0000 2019
RosaDeLauro,63877,3285,13274,True,Wed May 05 18:11:32 +0000 2010
RepShontelBrown,48240,508,4904,True,Thu Nov 04 22:01:33 +0000 2021
RepMcCormick,58820,750,2789,True,Wed Jan 04 17:28:23 +0000 2023
RepLaMonica,12860,262,1772,True,Fri Oct 11 05:17:47 +0000 2024
jahimes,99779,457,14451,True,Thu Apr 16 02:38:33 +0000 2009
RepDWStweets,25527,2487,11412,True,Fri Feb 01 20:31:25 +0000 2013
BettyMcCollum04,43210,1554,16293,True,Tue Mar 06 20:52:11 +0000 2012
RepLoisFrankel,31941,1726,14061,True,Thu Jan 10 16:58:38 +0000 2013
Rep_Clyde,49786,777,5553,True,Wed Feb 03 17:25:52 +0000 2021
RepCleaver,47929,1262,15702,True,Tue Jul 06 19:14:47 +0000 2010
RepRichHudson,32657,3264,13769,True,Thu Nov 08 17:41:00 +0000 2012
RepDannyDavis,19670,438,4726,True,Wed Aug 29 12:31:09 +0000 2012
StaceyPlaskett,218009,944,6253,True,Mon Aug 11 14:40:01 +0000 2014
RepThompson,43411,475,18707,True,Mon May 23 14:58:06 +0000 2011
