Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_abs
HuntWesley Hunt (R),$2760120,$719422,26.06%,Raised over $100k,R,Republican,2760120,719422,26.06,Wesley Hunt,100.0,auto,Wesley,Hunt,Wesley Hunt,Republican,rep,TX,H001095,RepWPH,Q4 (highest),full_house,TX,38.0,25.49567632540173,0.0,62.73412610425832,342764.0,repwph,0.596,-0.285,0.595,-0.28,0.596
JamesJohn James (R),$9477442,$2441780,25.76%,Raised over $100k,R,Republican,9477442,2441780,25.76,John James,100.0,auto,John,James,John James,Republican,rep,MI,J000307,RepJames,Q4 (highest),full_house,MI,10.0,6.1307168334897,1.0,51.12543821904957,425301.0,repjames,0.318,0.419,0.311,0.413,0.318
KimYoung Kim (R),$9067799,$2273294,25.07%,Raised over $100k,R,Republican,9067799,2273294,25.07,Young Kim,100.0,auto,Young,Kim,Young Kim,Republican,rep,CA,K000397,RepYoungKim,Q4 (highest),full_house,CA,40.0,10.5206772061986,0.0,55.2603386030993,383635.0,repyoungkim,0.261,0.381,0.246,0.43,0.261
WaltzMichael Waltz (R),$2791083,$661047,23.68%,Raised over $100k,R,Republican,2791083,661047,23.68,Michael Waltz,100.0,manual,,,Michael Waltz,Republican,rep,FL,W000823,RepMichaelWaltz,Q4 (highest),full_house,FL,6.0,33.06961359053416,0.0,66.53363713348648,427474.0,repmichaelwaltz,0.452,-0.113,0.596,0.04,0.452
BurchettTim Burchett (R),$1229828,$287186,23.35%,Raised over $100k,R,Republican,1229828,287186,23.35,Tim Burchett,100.0,auto,Tim,Burchett,Tim Burchett,Republican,rep,TN,B001309,RepTimBurchett,Q4 (highest),full_house,TN,2.0,38.51609232859613,0.0,69.25804616429807,362098.0,reptimburchett,0.666,-0.443,0.674,-0.572,0.666
McClellanJennifer McClellan (D),$2694818,$628053,23.31%,Raised over $100k,D,Democrat,2694818,628053,23.31,Jennifer McClellan,92.3,auto,Jennifer,McClellan,Jennifer L. McClellan,Democrat,rep,VA,M001227,RepMcClellan,Q4 (highest),full_house,VA,4.0,34.9049820509816,0.0,67.34477028452123,375508.0,repmcclellan,-0.548,0.06,-0.555,0.054,0.548
LeeBarbara Lee (D),$5473994,$1272567,23.25%,Raised over $100k,D,Democrat,5473994,1272567,23.25,Barbara Lee,100.0,manual,,,Barbara Lee,Democrat,rep,CA,L000551,RepBarbaraLee,Q4 (highest),full_house,CA,12.0,30.854871477784656,0.0,65.42743573889233,283025.0,repbarbaralee,-0.676,-0.582,-0.504,-0.672,0.676
GarciaRobert Garcia (D),$1326793,$292761,22.07%,Raised over $100k,D,Democrat,1326793,292761,22.07,Robert Garcia,100.0,auto,Robert,Garcia,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia,Q4 (highest),full_house,CA,42.0,36.28271601238209,0.0,68.14135800619104,233563.0,reprobertgarcia,-0.373,-0.601,-0.379,-0.622,0.373
McClainLisa McClain (R),$1029112,$215130,20.90%,Raised over $100k,R,Republican,1029112,215130,20.9,Lisa McClain,88.9,auto,Lisa,McClain,Lisa C. McClain,Republican,rep,MI,M001136,RepLisaMcClain,Q4 (highest),full_house,MI,9.0,37.25776207825935,0.0,66.75942576211243,468238.0,replisamcclain,0.548,0.171,0.543,0.167,0.548
SpanbergerAbigail Spanberger (D),$1723491,$359003,20.83%,Raised over $100k,D,Democrat,1723491,359003,20.83,Abigail Davis Spanberger,100.0,manual,,,Abigail Davis Spanberger,Democrat,rep,VA,S001209,RepSpanberger,Q4 (highest),full_house,VA,7.0,2.6400771207579226,1.0,51.17959018270874,397299.0,repspanberger,-0.196,0.3,-0.252,0.245,0.196
LeeSummer Lee (D),$2923335,$587574,20.10%,Raised over $100k,D,Democrat,2923335,587574,20.1,Summer Lee,87.0,auto,Summer,Lee,Summer L. Lee,Democrat,rep,PA,L000602,RepSummerLee,Q4 (highest),full_house,PA,12.0,12.823740834350405,0.0,56.4118704171752,416228.0,repsummerlee,-0.414,-0.91,-0.739,-0.674,0.414
GoodBob Good (R),$1328803,$262684,19.77%,Raised over $100k,R,Republican,1328803,262684,19.77,Bob Good,100.0,manual,,,Bob Good,Republican,rep,VA,G000595,RepBobGood,Q4 (highest),full_house,VA,5.0,14.990627272915,0.0,57.260593934916336,435839.0,repbobgood,0.8,-0.6,0.767,-0.642,0.8
TenneyClaudia Tenney (R),$2993079,$589942,19.71%,Raised over $100k,R,Republican,2993079,589942,19.71,Claudia Tenney,100.0,auto,Claudia,Tenney,Claudia Tenney,Republican,rep,NY,T000478,RepTenney,Q4 (highest),full_house,NY,24.0,22.10571875717517,0.0,54.65082829477107,378911.0,reptenney,0.464,0.018,0.488,0.035,0.464
OwensBurgess Owens (R),$1449406,$285518,19.70%,Raised over $100k,R,Republican,1449406,285518,19.7,Burgess Owens,100.0,auto,Clarence,Owens,Burgess Owens,Republican,rep,UT,O000086,RepBurgessOwens,Q4 (highest),full_house,UT,4.0,33.214085374572406,0.0,63.41690772902757,363668.0,repburgessowens,0.452,0.168,0.443,0.123,0.452
WextonJennifer Wexton (D),$480029,$94333,19.65%,Raised over $100k,D,Democrat,480029,94333,19.65,Jennifer Wexton,100.0,manual,,,Jennifer Wexton,Democrat,rep,VA,W000825,RepWexton,Q4 (highest),full_house,VA,10.0,4.549020367446957,1.0,52.08831704647808,413012.0,repwexton,-0.384,0.302,-0.418,0.177,0.384
MassieThomas Massie (R),$1323139,$257098,19.43%,Raised over $100k,R,Republican,1323139,257098,19.43,Thomas Massie,100.0,auto,Thomas,Massie,Thomas Massie,Republican,rep,KY,M001184,RepThomasMassie,Q4 (highest),full_house,KY,4.0,99.19074689553769,0.0,99.59537344776884,279517.0,repthomasmassie,0.662,-0.75,0.606,-0.796,0.662
DuncanJeff Duncan (R),$784969,$146993,18.73%,Raised over $100k,R,Republican,784969,146993,18.73,Jeff Duncan,100.0,manual,,,Jeff Duncan,Republican,rep,SC,D000615,RepJeffDuncan,Q4 (highest),full_house,SC,3.0,46.35418919971273,0.0,71.6589801939933,346713.0,repjeffduncan,0.695,-0.095,0.651,-0.176,0.695
WagnerAnn Wagner (R),$4213631,$770676,18.29%,Raised over $100k,R,Republican,4213631,770676,18.29,Ann Wagner,100.0,auto,Ann,Wagner,Ann Wagner,Republican,rep,MO,W000812,RepAnnWagner,Q4 (highest),full_house,MO,2.0,11.99555547255784,0.0,54.493081103288574,428392.0,repannwagner,0.391,0.301,0.349,0.362,0.391
RoseJohn Rose (R),$1106670,$197747,17.87%,Raised over $100k,R,Republican,1106670,197747,17.87,John Rose,85.7,auto,John,Rose,John W. Rose,Republican,rep,TN,R000612,RepJohnRose,Q4 (highest),full_house,TN,6.0,35.99749161106706,0.0,67.99874580553353,331687.0,repjohnrose,0.661,0.111,0.623,0.107,0.661
PocanMark Pocan (D),$1064083,$189287,17.79%,Raised over $100k,D,Democrat,1064083,189287,17.79,Mark Pocan,100.0,auto,Mark,Pocan,Mark Pocan,Democrat,rep,WI,P000607,RepMarkPocan,Q4 (highest),full_house,WI,2.0,40.23120477105872,0.0,70.05185267803445,457257.0,repmarkpocan,-0.523,-0.555,-0.457,-0.589,0.523
KiggansJen Kiggans (R),$6434811,$1134837,17.64%,Raised over $100k,R,Republican,6434811,1134837,17.64,Jen Kiggans,73.3,auto,Jennifer,Kiggans,Jennifer A. Kiggans,Republican,rep,VA,K000399,RepJenKiggans,Q4 (highest),full_house,VA,2.0,3.841919051044521,1.0,50.73819066214503,408702.0,repjenkiggans,0.26,0.461,0.259,0.436,0.26
KileyKevin Kiley (R),$4187895,$736088,17.58%,Raised over $100k,R,Republican,4187895,736088,17.58,Kevin Kiley,100.0,auto,Kevin,Kiley,Kevin Kiley,Republican,rep,CA,K000401,RepKiley,Q4 (highest),full_house,CA,3.0,10.934780601118128,0.0,55.46739030055906,422313.0,repkiley,0.256,0.434,0.254,0.441,0.256
MooneyAlex Mooney (R),$1952747,$342324,17.53%,Raised over $100k,R,Republican,1952747,342324,17.53,Alexander X. Mooney,100.0,manual,,,Alexander X. Mooney,Republican,rep,WV,M001195,RepAlexMooney,Q4 (highest),full_house,WV,2.0,41.53813676724764,0.0,70.76906838362382,378965.0,repalexmooney,0.568,-0.241,0.648,-0.296,0.568
SteelMichelle Steel (R),$10449923,$1816823,17.39%,Raised over $100k,R,Republican,10449923,1816823,17.39,Michelle Steel,100.0,manual,,,Michelle Steel,Republican,rep,CA,S001135,RepSteel,Q4 (highest),full_house,CA,45.0,0.2067273446774891,1.0,50.103363672338745,315875.0,repsteel,0.37,0.275,0.374,0.271,0.37
HarshbargerDiana Harshbarger (R),$1872094,$324407,17.33%,Raised over $100k,R,Republican,1872094,324407,17.33,Diana Harshbarger,100.0,auto,Diana,Harshbarger,Diana Harshbarger,Republican,rep,TN,H001086,RepHarshbarger,Q4 (highest),full_house,TN,1.0,58.69309113595135,0.0,78.08170224622121,330199.0,repharshbarger,0.678,-0.1,0.699,-0.157,0.678
