Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
RomneyMitt Romney (R),$2523205,$187046,7.41%,Raised over $100k,R,Republican,2523205,187046,7.41,Mitt Romney,100.0,manual,,,Mitt Romney,Republican,sen,UT,R000615,SenatorRomney,Q1 (lowest),all senators kept
ThuneJohn Thune (R),$14676498,$987613,6.73%,Raised over $100k,R,Republican,14676498,987613,6.73,John Thune,100.0,auto,John,Thune,John Thune,Republican,sen,SD,T000250,SenJohnThune,Q1 (lowest),all senators kept
MooreShelley Moore Capito (R),$6809822,$414479,6.09%,Raised over $100k,R,Republican,6809822,414479,6.09,Shelley Moore Capito,100.0,manual,,,Shelley Moore Capito,Republican,sen,WV,C001047,SenCapito,Q1 (lowest),all senators kept
SchatzBrian Schatz (D),$4179203,$246841,5.91%,Raised over $100k,D,Democrat,4179203,246841,5.91,Brian Schatz,100.0,auto,Brian,Schatz,Brian Schatz,Democrat,sen,HI,S001194,SenBrianSchatz,Q1 (lowest),all senators kept
WickerRoger Wicker (R),$9761165,$571305,5.85%,Raised over $100k,R,Republican,9761165,571305,5.85,Roger Wicker,88.9,auto,Roger,Wicker,Roger F. Wicker,Republican,sen,MS,W000437,SenatorWicker,Q1 (lowest),all senators kept
BlackburnMarsha Blackburn (R),$18651419,$1035095,5.55%,Raised over $100k,R,Republican,18651419,1035095,5.55,Marsha Blackburn,100.0,auto,Marsha,Blackburn,Marsha Blackburn,Republican,sen,TN,B001243,MarshaBlackburn,Q1 (lowest),all senators kept
CassidyBill Cassidy (R),$13712530,$741811,5.41%,Raised over $100k,R,Republican,13712530,741811,5.41,Bill Cassidy,100.0,auto,Bill,Cassidy,Bill Cassidy,Republican,sen,LA,C001075,SenBillCassidy,Q1 (lowest),all senators kept
MullinMarkwayne Mullin (R),$6423041,$340318,5.30%,Raised over $100k,R,Republican,6423041,340318,5.3,Markwayne Mullin,100.0,auto,Markwayne,Mullin,Markwayne Mullin,Republican,sen,OK,M001190,SenMullin,Q1 (lowest),all senators kept
PadillaAlex Padilla (D),$12645481,$659863,5.22%,Raised over $100k,D,Democrat,12645481,659863,5.22,Alex Padilla,100.0,auto,Alejandro,Padilla,Alex Padilla,Democrat,sen,CA,P000145,SenAlexPadilla,Q1 (lowest),all senators kept
VanChris Van Hollen (D),$8407893,$424602,5.05%,Raised over $100k,D,Democrat,8407893,424602,5.05,Chris Van Hollen,100.0,manual,,,Chris Van Hollen,Democrat,sen,MD,V000128,ChrisVanHollen,Q1 (lowest),all senators kept
CarperTom Carper (D),$1559477,$72302,4.64%,Raised over $100k,D,Democrat,1559477,72302,4.64,Thomas R. Carper,100.0,manual,,,Thomas R. Carper,Democrat,sen,DE,C000174,SenatorCarper,Q1 (lowest),all senators kept
CoonsChris Coons (D),$8719861,$394545,4.52%,Raised over $100k,D,Democrat,8719861,394545,4.52,Chris Coons,71.0,auto,Christopher,Coons,Christopher A. Coons,Democrat,sen,DE,C001088,ChrisCoons,Q1 (lowest),all senators kept
LankfordJames Lankford (R),$7449710,$321182,4.31%,Raised over $100k,R,Republican,7449710,321182,4.31,James Lankford,100.0,auto,James,Lankford,James Lankford,Republican,sen,OK,L000575,SenatorLankford,Q1 (lowest),all senators kept
MurkowskiLisa Murkowski (R),$10964335,$468219,4.27%,Raised over $100k,R,Republican,10964335,468219,4.27,Lisa Murkowski,100.0,auto,Lisa,Murkowski,Lisa Murkowski,Republican,sen,AK,M001153,LisaMurkowski,Q1 (lowest),all senators kept
WelchPeter Welch (D),$5678073,$238536,4.20%,Raised over $100k,D,Democrat,5678073,238536,4.2,Peter Welch,100.0,auto,Peter,Welch,Peter Welch,Democrat,sen,VT,W000800,PeterWelch,Q1 (lowest),all senators kept
HoevenJohn Hoeven (R),$4567097,$165818,3.63%,Raised over $100k,R,Republican,4567097,165818,3.63,John Hoeven,100.0,auto,John,Hoeven,John Hoeven,Republican,sen,ND,H001061,SenJohnHoeven,Q1 (lowest),all senators kept
CardinBen Cardin (D),$359838,$10926,3.04%,Raised over $100k,D,Democrat,359838,10926,3.04,Benjamin L. Cardin,100.0,manual,,,Benjamin L. Cardin,Democrat,sen,MD,C000141,SenatorCardin,Q1 (lowest),all senators kept
CrapoMike Crapo (R),$6725668,$177593,2.64%,Raised over $100k,R,Republican,6725668,177593,2.64,Mike Crapo,100.0,auto,Michael,Crapo,Mike Crapo,Republican,sen,ID,C000880,MikeCrapo,Q1 (lowest),all senators kept
BoozmanJohn Boozman (R),$8151176,$210678,2.58%,Raised over $100k,R,Republican,8151176,210678,2.58,John Boozman,100.0,auto,John,Boozman,John Boozman,Republican,sen,AR,B001236,JohnBoozman,Q1 (lowest),all senators kept
RickettsPete Ricketts (R),$5862005,$144252,2.46%,Raised over $100k,R,Republican,5862005,144252,2.46,Pete Ricketts,100.0,auto,Pete,Ricketts,Pete Ricketts,Republican,sen,NE,R000618,SenatorRicketts,Q1 (lowest),all senators kept
ManchinJoe Manchin (D),$8654338,$192519,2.22%,Raised over $100k,D,Democrat,8654338,192519,2.22,"Joe Manchin, III",100.0,manual,,,"Joe Manchin, III",Independent,sen,WV,M001183,Sen_JoeManchin,Q1 (lowest),all senators kept
MoranJerry Moran (R),$8576792,$135629,1.58%,Raised over $100k,R,Republican,8576792,135629,1.58,Jerry Moran,100.0,auto,Jerry,Moran,Jerry Moran,Republican,sen,KS,M000934,JerryMoran,Q1 (lowest),all senators kept
ReedJack Reed (D),$4011226,$57029,1.42%,Raised over $100k,D,Democrat,4011226,57029,1.42,Jack Reed,100.0,auto,John,Reed,Jack Reed,Democrat,sen,RI,R000122,SenJackReed,Q1 (lowest),all senators kept
CurtisJohn Curtis (R),$5632555,$30244,0.54%,Raised over $100k,R,Republican,5632555,30244,0.54,John Curtis,88.0,auto,John,Curtis,John R. Curtis,Republican,sen,UT,C001114,RepJohnCurtis,Q1 (lowest),all senators kept
WhitehouseSheldon Whitehouse (D),$6714499,$0,0.00%,Raised over $100k,D,Democrat,6714499,0,0.0,Sheldon Whitehouse,100.0,auto,Sheldon,Whitehouse,Sheldon Whitehouse,Democrat,sen,RI,W000802,SenWhitehouse,Q1 (lowest),all senators kept
