Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
LeeSummer Lee (D),$2923335,$587574,20.10%,Raised over $100k,D,Democrat,2923335,587574,20.1,Summer Lee,87.0,auto,Summer,Lee,Summer L. Lee,Democrat,rep,PA,L000602,RepSummerLee,Q4 (highest),full_house
GoodBob Good (R),$1328803,$262684,19.77%,Raised over $100k,R,Republican,1328803,262684,19.77,Bob Good,100.0,manual,,,Bob Good,Republican,rep,VA,G000595,RepBobGood,Q4 (highest),full_house
TenneyClaudia Tenney (R),$2993079,$589942,19.71%,Raised over $100k,R,Republican,2993079,589942,19.71,Claudia Tenney,100.0,auto,Claudia,Tenney,Claudia Tenney,Republican,rep,NY,T000478,RepTenney,Q4 (highest),full_house
OwensBurgess Owens (R),$1449406,$285518,19.70%,Raised over $100k,R,Republican,1449406,285518,19.7,Burgess Owens,100.0,auto,Clarence,Owens,Burgess Owens,Republican,rep,UT,O000086,RepBurgessOwens,Q4 (highest),full_house
WextonJennifer Wexton (D),$480029,$94333,19.65%,Raised over $100k,D,Democrat,480029,94333,19.65,Jennifer Wexton,100.0,manual,,,Jennifer Wexton,Democrat,rep,VA,W000825,RepWexton,Q4 (highest),full_house
MassieThomas Massie (R),$1323139,$257098,19.43%,Raised over $100k,R,Republican,1323139,257098,19.43,Thomas Massie,100.0,auto,Thomas,Massie,Thomas Massie,Republican,rep,KY,M001184,RepThomasMassie,Q4 (highest),full_house
DuncanJeff Duncan (R),$784969,$146993,18.73%,Raised over $100k,R,Republican,784969,146993,18.73,Jeff Duncan,100.0,manual,,,Jeff Duncan,Republican,rep,SC,D000615,RepJeffDuncan,Q4 (highest),full_house
WagnerAnn Wagner (R),$4213631,$770676,18.29%,Raised over $100k,R,Republican,4213631,770676,18.29,Ann Wagner,100.0,auto,Ann,Wagner,Ann Wagner,Republican,rep,MO,W000812,RepAnnWagner,Q4 (highest),full_house
RoseJohn Rose (R),$1106670,$197747,17.87%,Raised over $100k,R,Republican,1106670,197747,17.87,John Rose,85.7,auto,John,Rose,John W. Rose,Republican,rep,TN,R000612,RepJohnRose,Q4 (highest),full_house
PocanMark Pocan (D),$1064083,$189287,17.79%,Raised over $100k,D,Democrat,1064083,189287,17.79,Mark Pocan,100.0,auto,Mark,Pocan,Mark Pocan,Democrat,rep,WI,P000607,RepMarkPocan,Q4 (highest),full_house
KiggansJen Kiggans (R),$6434811,$1134837,17.64%,Raised over $100k,R,Republican,6434811,1134837,17.64,Jen Kiggans,73.3,auto,Jennifer,Kiggans,Jennifer A. Kiggans,Republican,rep,VA,K000399,RepJenKiggans,Q4 (highest),full_house
KileyKevin Kiley (R),$4187895,$736088,17.58%,Raised over $100k,R,Republican,4187895,736088,17.58,Kevin Kiley,100.0,auto,Kevin,Kiley,Kevin Kiley,Republican,rep,CA,K000401,RepKiley,Q4 (highest),full_house
