Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
UnderwoodLauren A Underwood (D),$4082518,$644232,15.78%,Raised over $100k,D,Democrat,4082518,644232,15.78,Lauren A Underwood,94.1,auto,Lauren,Underwood,Lauren Underwood,Democrat,rep,IL,U000040,RepUnderwood,Q4 (highest),full_house
SmithChris Smith (R),$838537,$130989,15.62%,Raised over $100k,R,Republican,838537,130989,15.62,Chris Smith,71.0,auto,Christopher,Smith,Christopher H. Smith,Republican,rep,NJ,S000522,RepChrisSmith,Q4 (highest),full_house
SteubeGreg Steube (R),$1710108,$266852,15.60%,Raised over $100k,R,Republican,1710108,266852,15.6,Greg Steube,78.6,auto,W.,Steube,W. Gregory Steube,Republican,rep,FL,S001214,RepGregSteube,Q4 (highest),full_house
BalintBecca Balint (D),$1372634,$214118,15.60%,Raised over $100k,D,Democrat,1372634,214118,15.6,Becca Balint,100.0,auto,Becca,Balint,Becca Balint,Democrat,rep,VT,B001318,RepBeccaB,Q4 (highest),full_house
StansburyMelanie Stansbury (D),$1343239,$209339,15.58%,Raised over $100k,D,Democrat,1343239,209339,15.58,Melanie Stansbury,91.9,auto,Melanie,Stansbury,Melanie A. Stansbury,Democrat,rep,NM,S001218,Rep_Stansbury,Q4 (highest),full_house
GarciaMike Garcia (R),$6485208,$1007275,15.53%,Raised over $100k,R,Republican,6485208,1007275,15.53,Robert Garcia,100.0,manual,,,Robert Garcia,Democrat,rep,CA,G000598,RepRobertGarcia,Q4 (highest),full_house
HigginsClay Higgins (R),$1016991,$157875,15.52%,Raised over $100k,R,Republican,1016991,157875,15.52,Clay Higgins,100.0,auto,Clay,Higgins,Clay Higgins,Republican,rep,LA,H001077,RepClayHiggins,Q4 (highest),full_house
WildSusan Wild (D),$8856117,$1374447,15.52%,Raised over $100k,D,Democrat,8856117,1374447,15.52,Susan Wild,100.0,manual,,,Susan Wild,Democrat,rep,PA,W000826,RepSusanWild,Q4 (highest),full_house
BurlisonEric Burlison (R),$923026,$143138,15.51%,Raised over $100k,R,Republican,923026,143138,15.51,Eric Burlison,100.0,auto,Eric,Burlison,Eric Burlison,Republican,rep,MO,B001316,RepEricBurlison,Q4 (highest),full_house
GluesenkampMarie Gluesenkamp Perez (D),$11660957,$1798924,15.43%,Raised over $100k,D,Democrat,11660957,1798924,15.43,Craig A. Goldman,100.0,manual,,,Craig A. Goldman,Republican,rep,TX,G000601,RepCraigGoldman,Q4 (highest),full_house
McBathLucy McBath (D),$2431244,$368999,15.18%,Raised over $100k,D,Democrat,2431244,368999,15.18,Lucy McBath,100.0,auto,Lucy,McBath,Lucy McBath,Democrat,rep,GA,M001208,RepLucyMcBath,Q4 (highest),full_house
HarderJosh Harder (D),$5306590,$800349,15.08%,Raised over $100k,D,Democrat,5306590,800349,15.08,Josh Harder,100.0,auto,Josh,Harder,Josh Harder,Democrat,rep,CA,H001090,RepJoshHarder,Q4 (highest),full_house
MoultonSeth Moulton (D),$2849440,$428950,15.05%,Raised over $100k,D,Democrat,2849440,428950,15.05,Seth Moulton,100.0,auto,Seth,Moulton,Seth Moulton,Democrat,rep,MA,M001196,RepMoulton,Q4 (highest),full_house
GoldenJared Golden (D),$7743101,$1128219,14.57%,Raised over $100k,D,Democrat,7743101,1128219,14.57,Jared Golden,88.9,auto,Jared,Golden,Jared F. Golden,Democrat,rep,ME,G000592,RepGolden,Q4 (highest),full_house
TiffanyTom Tiffany (R),$1241429,$177927,14.33%,Raised over $100k,R,Republican,1241429,177927,14.33,Thomas P. Tiffany,100.0,manual,,,Thomas P. Tiffany,Republican,rep,WI,T000165,RepTiffany,Q4 (highest),full_house
GrothmanGlenn Grothman (R),$985756,$139944,14.20%,Raised over $100k,R,Republican,985756,139944,14.2,Glenn Grothman,100.0,auto,Glenn,Grothman,Glenn Grothman,Republican,rep,WI,G000576,RepGrothman,Q4 (highest),full_house
ConnollyGerry Connolly (D),$2517838,$356034,14.14%,Raised over $100k,D,Democrat,2517838,356034,14.14,Gerald E. Connolly,100.0,manual,,,Gerald E. Connolly,Democrat,rep,VA,C001078,GerryConnolly,Q4 (highest),full_house
FischbachMichelle Fischbach (R),$2010301,$281783,14.02%,Raised over $100k,R,Republican,2010301,281783,14.02,Michelle Fischbach,100.0,auto,Michelle,Fischbach,Michelle Fischbach,Republican,rep,MN,F000470,RepFischbach,Q4 (highest),full_house
SykesEmilia Sykes (D),$5270437,$715744,13.58%,Raised over $100k,D,Democrat,5270437,715744,13.58,Emilia Sykes,77.4,auto,Emilia,Sykes,Emilia Strong Sykes,Democrat,rep,OH,S001223,RepEmiliaSykes,Q4 (highest),full_house
SherrillMikie Sherrill (D),$4400561,$591662,13.45%,Raised over $100k,D,Democrat,4400561,591662,13.45,Mikie Sherrill,100.0,manual,,,Mikie Sherrill,Democrat,rep,NJ,S001207,RepSherrill,Q4 (highest),full_house
WilliamsBrandon Williams (R),$4172151,$554346,13.29%,Raised over $100k,R,Republican,4172151,554346,13.29,Brandon Williams,100.0,manual,,,Brandon Williams,Republican,rep,NY,W000828,RepWilliams,Q3,full_house
SwalwellEric Swalwell (D),$3885636,$511246,13.16%,Raised over $100k,D,Democrat,3885636,511246,13.16,Eric Swalwell,100.0,auto,Eric,Swalwell,Eric Swalwell,Democrat,rep,CA,S001193,RepSwalwell,Q3,full_house
