"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"SalmonMatt Salmon (R)","$355819","$27766","7.80%","Raised over $100k"
"DavidsonWarren Davidson (R)","$974240","$75063","7.70%","Raised over $100k"
"AdamsAlma Adams (D)","$922093","$70920","7.69%","Raised over $100k"
"McNerneyJerry McNerney (D)","$1214703","$93402","7.69%","Raised over $100k"
"NoemKristi Noem (R)","$2328820","$178551","7.67%","Raised over $100k"
"CassidyBill Cassidy (R)","$16699969","$1276222","7.64%","Raised over $100k"
"WilsonJoe Wilson (R)","$1151887","$87657","7.61%","Raised over $100k"
"McDermottJim McDermott (D)","$259505","$19360","7.46%","Raised over $100k"
"BookerCory Booker (D)","$20292875","$1513588","7.46%","Raised over $100k"
"EstyElizabeth Esty (D)","$1826049","$135504","7.42%","Raised over $100k"
"AshfordBrad Ashford (D)","$2502645","$184026","7.35%","Raised over $100k"
"FrankelLois Frankel (D)","$1639413","$117115","7.14%","Raised over $100k"
"KeatingBill Keating (D)","$1199693","$84769","7.07%","Raised over $100k"
"ForbesRandy Forbes (R)","$1361578","$94314","6.93%","Raised over $100k"
"DesaulnierMark Desaulnier (D)","$625213","$43265","6.92%","Raised over $100k"
"VanChris Van Hollen (D)","$11875663","$820926","6.91%","Raised over $100k"
"McCollumBetty McCollum (D)","$915558","$63250","6.91%","Raised over $100k"
"SinemaKyrsten Sinema (D)","$4171189","$283925","6.81%","Raised over $100k"
"ReichertDave Reichert (R)","$1655867","$112628","6.80%","Raised over $100k"
"ConyersJohn Conyers Jr (D)","$605324","$41054","6.78%","Raised over $100k"
"FarrSam Farr (D)","$194651","$12965","6.66%","Raised over $100k"
"YarmuthJohn A Yarmuth (D)","$690576","$45861","6.64%","Raised over $100k"
"LaHoodDarin LaHood (R)","$2529337","$164806","6.52%","Raised over $100k"
"LawrenceBrenda Lawrence (D)","$853134","$55292","6.48%","Raised over $100k"
"McCainJohn McCain (R)","$14796428","$952942","6.44%","Raised over $100k"
"GriffithMorgan Griffith (R)","$836092","$53654","6.42%","Raised over $100k"
"SablanGregorio Sablan (I)","$46911","$3000","6.40%","Raised less than $100k"
"CastorKathy Castor (D)","$731882","$46738","6.39%","Raised over $100k"
"CaseyBob Casey (D)","$14789447","$943022","6.38%","Raised over $100k"
"CramerKevin Cramer (R)","$1405040","$88758","6.32%","Raised over $100k"
"HondaMike Honda (D)","$2964838","$185128","6.24%","Raised over $100k"
"CardinBen Cardin (D)","$6480656","$402522","6.21%","Raised over $100k"
"MooneyAlex Mooney (R)","$1750908","$107866","6.16%","Raised over $100k"
"PerryScott Perry (R)","$676746","$41453","6.13%","Raised over $100k"
"PriceTom Price (R)","$2336891","$142779","6.11%","Raised over $100k"
"HigginsBrian Higgins (D)","$791467","$47849","6.05%","Raised over $100k"
"RigellScott Rigell (R)","$551470","$33063","6.00%","Raised over $100k"
"BlumenthalRichard Blumenthal (D)","$8825840","$521025","5.90%","Raised over $100k"
"LarsonJohn Larson (D)","$1613789","$94694","5.87%","Raised over $100k"
"ThompsonGlenn Thompson (R)","$1201255","$68859","5.73%","Raised over $100k"
"DingellDebbie Dingell (D)","$1173477","$67229","5.73%","Raised over $100k"
"BostMike Bost (R)","$2313250","$131343","5.68%","Raised over $100k"
"LattaBob Latta (R)","$1053339","$59643","5.66%","Raised over $100k"
"MiltonDaniel Milton Newhouse (R)","$1266399","$71437","5.64%","Raised over $100k"
"RoskamPeter Roskam (R)","$2988266","$167920","5.62%","Raised over $100k"
"StefanikElise Stefanik (R)","$3130388","$175750","5.61%","Raised over $100k"
"SchiffAdam Schiff (D)","$968263","$54233","5.60%","Raised over $100k"
"LujanMichelle Lujan Grisham (D)","$1776951","$99401","5.59%","Raised over $100k"
"ChabotSteve Chabot (R)","$1012389","$56487","5.58%","Raised over $100k"
"MoultonSeth Moulton (D)","$2595540","$144762","5.58%","Raised over $100k"
"MicaJohn L Mica (R)","$1624556","$90212","5.55%","Raised over $100k"
"LynchStephen Lynch (D)","$1210584","$66396","5.48%","Raised over $100k"
"KellyTrent Kelly (R)","$1053947","$57209","5.43%","Raised over $100k"
"ChuJudy Chu (D)","$1170205","$63288","5.41%","Raised over $100k"
"HellerDean Heller (R)","$11909056","$640223","5.38%","Raised over $100k"
"WomackSteve Womack (R)","$930982","$49629","5.33%","Raised over $100k"
"DavisSusan Davis (D)","$485039","$25639","5.29%","Raised over $100k"
"HanabusaColleen Hanabusa (D)","$972277","$51234","5.27%","Raised over $100k"
