"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"DeanMadeleine Dean (D)","$1739285","$131357","7.55%","Raised over $100k"
"NormanRalph Norman (R)","$395128","$29820","7.55%","Raised over $100k"
"McMorrisCathy McMorris Rodgers (R)","$3068965","$229910","7.49%","Raised over $100k"
"KrishnamoorthiRaja Krishnamoorthi (D)","$10781740","$802847","7.45%","Raised over $100k"
"RomneyMitt Romney (R)","$2523205","$187046","7.41%","Raised over $100k"
"FitzgeraldScott Fitzgerald (R)","$1308311","$95942","7.33%","Raised over $100k"
"CiscomaniJuan Ciscomani (R)","$6876505","$478641","6.96%","Raised over $100k"
"TitusDina Titus (D)","$2427313","$167477","6.90%","Raised over $100k"
"CastorKathy Castor (D)","$1162514","$80042","6.89%","Raised over $100k"
"CartwrightMatt Cartwright (D)","$8563884","$583466","6.81%","Raised over $100k"
"KusterAnn Kuster (D)","$1460525","$99210","6.79%","Raised over $100k"
"TokudaJill Tokuda (D)","$961307","$65216","6.78%","Raised over $100k"
"CalvertKen Calvert (R)","$8016040","$541157","6.75%","Raised over $100k"
"ThuneJohn Thune (R)","$14676498","$987613","6.73%","Raised over $100k"
"RuizRaul Ruiz (D)","$2469042","$163127","6.61%","Raised over $100k"
"WalbergTim Walberg (R)","$1581866","$104443","6.60%","Raised over $100k"
"McGarveyMorgan McGarvey (D)","$2152286","$141599","6.58%","Raised over $100k"
"RossDeborah Ross (D)","$1916680","$124164","6.48%","Raised over $100k"
"BeyerDon Beyer (D)","$1924972","$123922","6.44%","Raised over $100k"
"WilsonJoe Wilson (R)","$875967","$56230","6.42%","Raised over $100k"
"LawlerMike Lawler (R)","$8244034","$527131","6.39%","Raised over $100k"
"KhannaRo Khanna (D)","$10139203","$647965","6.39%","Raised over $100k"
"BonamiciSuzanne Bonamici (D)","$933463","$59521","6.38%","Raised over $100k"
"PappasChris Pappas (D)","$4064817","$258983","6.37%","Raised over $100k"
"Miller-MeeksMariannette Miller-Meeks (R)","$5424426","$344101","6.34%","Raised over $100k"
"GonzalesTony Gonzales (R)","$5901618","$372958","6.32%","Raised over $100k"
"BarrAndy Barr (R)","$4940959","$311870","6.31%","Raised over $100k"
"JohnsonHank Johnson (D)","$661564","$40966","6.19%","Raised over $100k"
"HoulahanChrissy Houlahan (D)","$2490375","$154029","6.18%","Raised over $100k"
"HuffmanJared Huffman (D)","$997755","$61180","6.13%","Raised over $100k"
"EmmerTom Emmer (R)","$8166673","$498537","6.10%","Raised over $100k"
"MooreShelley Moore Capito (R)","$6809822","$414479","6.09%","Raised over $100k"
"BishopDan Bishop (R)","$223950","$13538","6.05%","Raised over $100k"
"NadlerJerrold Nadler (D)","$1186827","$71188","6.00%","Raised over $100k"
"BentzCliff Bentz (R)","$1093068","$65275","5.97%","Raised over $100k"
"NickelWiley Nickel (D)","$1506600","$89202","5.92%","Raised over $100k"
"SchatzBrian Schatz (D)","$4179203","$246841","5.91%","Raised over $100k"
"WickerRoger Wicker (R)","$9761165","$571305","5.85%","Raised over $100k"
"SalazarMaria Salazar (R)","$3222051","$188175","5.84%","Raised over $100k"
"ClineBen Cline (R)","$1012181","$58930","5.82%","Raised over $100k"
"ScaliseSteve Scalise (R)","$14633365","$846440","5.78%","Raised over $100k"
"BeraAmi Bera (D)","$1114106","$62602","5.62%","Raised over $100k"
"PhillipsDean Phillips (D)","$7670177","$426978","5.57%","Raised over $100k"
"D'EspositoAnthony D'Esposito (R)","$4519185","$251430","5.56%","Raised over $100k"
"DesaulnierMark Desaulnier (D)","$658949","$36599","5.55%","Raised over $100k"
"BlackburnMarsha Blackburn (R)","$18651419","$1035095","5.55%","Raised over $100k"
"BrownleyJulia Brownley (D)","$1581880","$87174","5.51%","Raised over $100k"
"BiceStephanie Bice (R)","$2096812","$115186","5.49%","Raised over $100k"
"AmoGabe Amo (D)","$2567784","$139662","5.44%","Raised over $100k"
"StevensHaley Stevens (D)","$2653589","$143805","5.42%","Raised over $100k"
"CassidyBill Cassidy (R)","$13712530","$741811","5.41%","Raised over $100k"
"LarsenRick Larsen (D)","$2430826","$131460","5.41%","Raised over $100k"
"MullinMarkwayne Mullin (R)","$6423041","$340318","5.30%","Raised over $100k"
"SchneiderBrad Schneider (D)","$3837024","$200405","5.22%","Raised over $100k"
"SteilBryan Steil (R)","$5469476","$285471","5.22%","Raised over $100k"
"PadillaAlex Padilla (D)","$12645481","$659863","5.22%","Raised over $100k"
"BudzinskiNikki Budzinski (D)","$4276995","$218683","5.11%","Raised over $100k"
