Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
BookerCory Booker (D),$21523391,$6786966,31.53%,Raised over $100k,D,Democrat,21523391,6786966,31.53,Cory Booker,88.0,auto,Cory,Booker,Cory A. Booker,Democrat,sen,NJ,B001288,SenBooker
MurphyChristopher S Murphy (D),$15089795,$4756253,31.52%,Raised over $100k,D,Democrat,15089795,4756253,31.52,Christopher S Murphy,94.7,auto,Christopher,Murphy,Christopher Murphy,Democrat,sen,CT,M001169,SenMurphyOffice
BrownSherrod Brown (D),$100378888,$31507010,31.39%,Raised over $100k,D,Democrat,100378888,31507010,31.39,Sherrod Brown,100.0,manual,,,Sherrod Brown,Democrat,sen,OH,B000944,
RosenJacky Rosen (D),$50872605,$15915856,31.29%,Raised over $100k,D,Democrat,50872605,15915856,31.29,Jacky Rosen,100.0,auto,Jacky,Rosen,Jacky Rosen,Democrat,sen,NV,R000608,SenJackyRosen
KlobucharAmy Klobuchar (D),$21485514,$6582687,30.64%,Raised over $100k,D,Democrat,21485514,6582687,30.64,Amy Klobuchar,100.0,auto,Amy,Klobuchar,Amy Klobuchar,Democrat,sen,MN,K000367,SenAmyKlobuchar
GrijalvaRaul M Grijalva (D),$637820,$191331,30.00%,Raised over $100k,D,Democrat,637820,191331,30.0,Raúl M. Grijalva,100.0,manual,,,Raúl M. Grijalva,Democrat,rep,AZ,G000551,
CrenshawDan Crenshaw (R),$4056322,$1209494,29.82%,Raised over $100k,R,Republican,4056322,1209494,29.82,Dan Crenshaw,100.0,auto,Dan,Crenshaw,Dan Crenshaw,Republican,rep,TX,C001120,RepDanCrenshaw
HassanMaggie Hassan (D),$43065876,$12823476,29.78%,Raised over $100k,D,Democrat,43065876,12823476,29.78,Margaret Wood Hassan,100.0,manual,,,Margaret Wood Hassan,Democrat,sen,NH,H001076,SenatorHassan
VanDerrick Van Orden (R),$7458951,$2210768,29.64%,Raised over $100k,R,Republican,7458951,2210768,29.64,Derrick Van Orden,100.0,manual,,,Derrick Van Orden,Republican,rep,WI,V000135,RepVanOrden
VanJeff Van Drew (R),$3197984,$935417,29.25%,Raised over $100k,R,Republican,3197984,935417,29.25,Jefferson Van Drew,100.0,manual,,,Jefferson Van Drew,Republican,rep,NJ,V000133,Congressman_JVD
RoyChip Roy (R),$2884881,$842825,29.22%,Raised over $100k,R,Republican,2884881,842825,29.22,Chip Roy,100.0,auto,Chip,Roy,Chip Roy,Republican,rep,TX,R000614,RepChipRoy
BowmanJamaal Bowman (D),$5626499,$1632542,29.02%,Raised over $100k,D,Democrat,5626499,1632542,29.02,Jamaal Bowman,100.0,manual,,,Jamaal Bowman,Democrat,rep,NY,B001223,
CaseyBob Casey (D),$63676634,$18276575,28.70%,Raised over $100k,D,Democrat,63676634,18276575,28.7,"Robert P. Casey, Jr.",100.0,manual,,,"Robert P. Casey, Jr.",Democrat,sen,PA,C001070,
